"","gini","year","cve","mun_name","pto","trat_2","date"
"78",0.179966044142615,2003,"O47","Senguio",0,0,2003-01-01
"79",0.188942307692308,2003,"O48","Charo",0,0,2003-01-01
"80",0.455902317880795,2003,"O49","Alvaro Obregon",0,0,2003-01-01
"81",0.33061797752809,2003,"O50","Chavinda",0,0,2003-01-01
"82",0.270410182010024,2003,"O51","Tangamandapio",0,1,2003-01-01
"83",0.446055506993007,2003,"O52","Ziracuaretiro",0,1,2003-01-01
"84",0.298435798435799,2003,"O53","Nuevo Parangaricutiro",0,1,2003-01-01
"85",0.251324854266031,2003,"O54","Coeneo",0,0,2003-01-01
"86",0.326912787586945,2003,"O55","Jimenez",0,0,2003-01-01
"87",0.344558260825102,2003,"O56","Yurecuaro",0,0,2003-01-01
"88",0.191005291005291,2003,"O59","Nahuatzen",0,0,2003-01-01
"89",0.221608129791407,2003,"O60","Ecuandureo",0,0,2003-01-01
"90",0.341855891292687,2003,"O62","Villamar",0,0,2003-01-01
"91",0.352850399419027,2003,"O63","Coalcoman",0,0,2003-01-01
"92",0.126689189189189,2003,"O64","Tiquicheo",0,0,2003-01-01
"93",0.25,2003,"O65","Tumbiscatio",0,0,2003-01-01
"94",0.355963302752293,2003,"O66","Tuzantla",0,0,2003-01-01
"95",0.19156862745098,2003,"O67","Aguililla",0,0,2003-01-01
"96",0.246315789473684,2003,"O68","Huaniqueo",0,0,2003-01-01
"97",0.276324798028208,2003,"O69","Ixtlan",0,0,2003-01-01
"98",0.271959341533908,2003,"O70","Tancitaro",0,1,2003-01-01
"99",0,2003,"O71","Caracuaro",0,0,2003-01-01
"100",0.437473134666636,2003,"O72","Cuitzeo",0,0,2003-01-01
"101",0,2003,"O73","Chucandiro",0,0,2003-01-01
"102",0.288172043010753,2003,"O74","Santa Ana Maya",0,0,2003-01-01
"103",0.261341807574644,2003,"O75","Huandacareo",0,0,2003-01-01
"104",0.0833333333333333,2003,"O76","Copandaro",0,0,2003-01-01
"105",0.0681818181818181,2003,"O77","Tzitzio",0,0,2003-01-01
"106",0.275577639751553,2003,"O78","Marcos Castellanos",0,0,2003-01-01
"107",0.21037037037037,2003,"O79","Juarez",0,1,2003-01-01
"108",0.397052154195011,2003,"O81","Coahuayana",0,0,2003-01-01
"109",0.400958742406357,2003,"O82","Aquila",0,0,2003-01-01
"110",0.454620537667454,2003,"C75","Apatzingan",0,1,2003-02-01
"111",0.35674520905465,2003,"C76","Arteaga",0,0,2003-02-01
"112",0.39271523178808,2003,"C77","Cotija",0,1,2003-02-01
"113",0.293338683788122,2003,"C78","Charapan",0,0,2003-02-01
"114",0.228402097105083,2003,"C79","Cheran",0,0,2003-02-01
"115",0.291978609625668,2003,"C80","Chilchota",0,1,2003-02-01
"116",0.306697193060829,2003,"C81","Gabriel Zamora",0,0,2003-02-01
"117",0.481882850665804,2003,"C82","Hidalgo",0,1,2003-02-01
"118",0.479302886993999,2003,"C83","Jacona",0,0,2003-02-01
"119",0.462761298101661,2003,"C84","Jiquilpan",0,0,2003-02-01
"120",0.321428571428571,2003,"C85","Jungapeo",0,1,2003-02-01
"121",0.437581857146259,2003,"C86","La Piedad",0,0,2003-02-01
"122",0.473203889549057,2003,"C87","Lazaro Cardenas",0,0,2003-02-01
"123",0.482239735023699,2003,"C88","Los Reyes",0,1,2003-02-01
"124",0.471887039787799,2003,"C89","Morelia",0,0,2003-02-01
"125",0.431044048564816,2003,"C90","Mugica",0,0,2003-02-01
"126",0.12962962962963,2003,"C92","Nuevo Urecho",0,0,2003-02-01
"127",0.186683904330963,2003,"C93","Paracuaro",0,0,2003-02-01
"128",0.427435377968708,2003,"C94","Paracho",0,0,2003-02-01
"129",0.470524732771567,2003,"C95","Patzcuaro",0,1,2003-02-01
"130",0.326021317617956,2003,"C96","Periban",0,1,2003-02-01
"131",0.389097126323404,2003,"C97","Quiroga",0,1,2003-02-01
"132",0.41864847784572,2003,"C98","Sahuayo",0,0,2003-02-01
"133",0.460643515122885,2003,"C99","Tacambaro",0,1,2003-02-01
"134",0.49600175265637,2003,"D01","Taretan",0,1,2003-02-01
"135",0.390117911285794,2003,"D02","Tinguindin",0,1,2003-02-01
"136",0.523037650755042,2003,"D03","Tocumbo",0,1,2003-02-01
"137",0.369685039370079,2003,"D04","Turicato",0,1,2003-02-01
"138",0.448627032998994,2003,"D05","Uruapan",0,1,2003-02-01
"139",0.291388146167558,2003,"D06","Venustiano Carranza",0,0,2003-02-01
"140",0.507796730599754,2003,"D07","Zacapu",0,0,2003-02-01
"141",0.473344181310216,2003,"D08","Zamora",0,0,2003-02-01
"142",0.471912118974887,2003,"D09","Zitacuaro",0,1,2003-02-01
"143",0.339627563732675,2003,"D10","Tarimbaro",0,1,2003-02-01
"144",0.187606691703653,2003,"H44","Angangueo",0,0,2003-02-01
"145",0.187114845938375,2003,"K77","Acuitzio",0,1,2003-02-01
"146",0.395530066627309,2003,"K78","Ario",0,1,2003-02-01
"147",0.235726399095534,2003,"K79","Erongaricuaro",0,1,2003-02-01
"148",0.380905203879445,2003,"K80","La Huacana",0,0,2003-02-01
"149",0,2003,"K81","Huiramba",0,1,2003-02-01
"150",0.344750140370578,2003,"K82","Lagunillas",0,1,2003-02-01
"151",0.298415942769545,2003,"K83","Madero",0,1,2003-02-01
"152",0.339614143082351,2003,"K84","Salvador Escalante",0,1,2003-02-01
"153",0.323415584095447,2003,"K85","Tingambato",0,1,2003-02-01
"154",0.138198757763975,2003,"K86","Tzintzuntzan",0,1,2003-02-01
"155",0.271701588763528,2003,"L22","Angamacutiro",0,0,2003-02-01
"156",0.188849902534113,2003,"L23","Jose Sixto Verduzco",0,0,2003-02-01
"157",0.354515050167224,2003,"L24","Morelos",0,0,2003-02-01
"158",0.25275888133031,2003,"L25","Panindicuaro",0,0,2003-02-01
"159",0.472207881603855,2003,"L26","Penjamillo",0,0,2003-02-01
"160",0.389843102911703,2003,"L27","Puruandiro",0,0,2003-02-01
"161",0.1,2003,"M45","Churumuco",0,0,2003-02-01
